r          Cu                             Fe                             Co                            Ni
A          1150C  1300C  1500C  1600C     1560C 1600C 1650C  1750C       1550C   1600C 1650C  1750C    1500C 1600C 1650C  1750C
           1423K  1573K  1773K  1873K     1833K 1873K 1923K  2023K       1823K   1873K 1923K  2023K    1773K 1873K 1923K  2023K
1.50       0.077  0.081  0.046  0.201     0.027 0.040 0.028  -0.061      0.023   0.045 -0.016 -0.704   0.048 0.040 -0.060 -0.012
1.60       0.036  0.070  0.047  0.147     0.029 0.042 0.015  -0.020      0.017   0.028 0.047  -0.620   0.047 0.081 0.018  0.003
1.70       0.041  0.062  0.041  -0.101    0.021 0.031 -0.001 -0.013      -0.019  0.006 0.037  -0.406   0.064 0.089 -0.074 0.171
1.80       0.059  0.043  0.035  -0.065    0.003 0.032 -0.001 -0.032      0.025   0.005 0.014  0.048    0.025 0.048 0.016  0.382
1.90       0.003  0.004  0.001  -0.038    0.007 0.003 0.018  -0.124      -0.044  0.051 0.067  -0.245   0.073 0.087 0.098  0.398
2.00       -0.007 0.041  0.105  0.162     0.039 0.045 0.056  -0.273      -0.240  0.287 0.439  0.527    0.451 0.540 0.523  0.446
2.10       0.148  0.385  0.454  0.467     0.354 0.378 0.398  0.545       0.594   0.641 0.851  0.881    0.881 1.035 1.029  1.085
2.20       0.738  0.954  1.030  1.044     0.760 0.819 0.814  0.981       1.114   1.152 1.365  1.373    1.385 1.556 1.544  1.584
2.30       1.455  1.654  1.650  1.684     1.429 1.519 1.491  1.647       1.773   1.816 1.916  1.926    1.934 2.065 2.027  2.058
2.40       2.405  2.550  2.201  1.983     2.020 2.051 1.970  1.976       2.219   2.140 2.139  2.026    2.292 2.230 2.216  1.984
2.50       3.565  3.562  2.480  2.162     2.488 2.429 2.361  2.373       2.373   2.509 2.135  2.039    2.361 2.205 2.070  1.840
2.60       2.614  2.454  2.349  2.035     2.537 2.392 2.297  2.119       2.163   2.067 1.936  1.834    2.080 1.919 1.777  1.440
2.70       2.108  2.007  1.908  1.667     2.184 2.013 2.001  1.796       1.746   1.710 1.630  1.576    1.598 1.514 1.426  1.218
2.80       1.497  1.489  1.424  1.335     1.641 1.530 1.593  1.495       1.337   1.368 1.341  1.335    1.160 1.169 1.160  1.142
2.90       1.050  1.131  1.093  1.006     1.154 1.150 1.239  1.213       1.065   1.094 1.143  1.137    0.906 0.949 0.989  0.992
3.00       0.824  0.944  0.917  0.840     0.837 0.939 1.011  1.037       0.923   0.941 0.990  0.978    0.787 0.802 0.863  0.896
3.10       0.742  0.779  0.801  0.822     0.742 0.832 0.848  0.918       0.830   0.862 0.944  0.952    0.710 0.747 0.734  0.827
