    r       Ti      Ti      V       Cr      Mn
    A       1700C   1850C   1900C   1900C   1260C
            1973K   2123K   2173K   2173K   1533K
    1.50    0.141   0.231   0.180   0.172   0.172
    1.60    0.145   0.158   0.132   0.153   0.186
    1.70    0.117   0.062   0.115   0.124   0.124
    1.80    0.056   0.007   0.008   0.010   0.032
    1.90    0.032  -0.042  -0.015   0.021   0.044
    2.00    0.054  -0.075   0.088   0.102   0.024
    2.10    0.078  -0.078   0.190   0.298   0.165
    2.20    0.041  -0.113   0.304   0.865   0.307
    2.30    0.043  -0.099   0.456   1.225   0.521
    2.40    0.187   0.279   0.744   1.858   1.439
    2.50    0.261   0.498   1.291   2.143   2.068
    2.60    0.582   0.731   1.694   2.338   2.333
    2.70    0.772   0.996   2.214   1.929   2.247
    2.80    1.146   1.287   2.287   1.466   1.920
    2.90    1.457   1.510   2.077   1.130   1.570
    3.00    1.854   1.731   1.731   0.836   1.215
    3.10    2.180   1.953   1.408   0.626   1.115
    3.20    2.239   2.111   1.111   0.524   0.983
    3.30    2.013   1.733   1.020   0.602   0.830
    3.40    1.711   1.471   0.889   0.524   0.704
    3.50    1.215   1.257   0.773   0.562   0.621
    3.60    1.020   1.049   0.711   0.597   0.599
    3.70    0.809   0.970   0.770   0.649   0.590
    3.80    0.810   0.876   0.663   0.705   0.640
    3.90    0.741   0.813   0.730   0.760   0.660
    4.00    0.694   0.765   0.606   0.840   0.733
    4.10    0.668   0.731   0.759   0.923   0.900
    4.20    0.664   0.719   0.765   1.001   0.981
    4.30    0.668   0.729   0.825   1.107   0.953
    4.40    0.703   0.749   0.887   1.146   1.022
    4.50    0.727   0.779   0.942   1.247   1.006
    4.60    0.770   0.809   0.993   1.271   1.147
    4.70    0.834   0.853   1.043   1.209   1.186
    4.80    0.899   0.901   1.107   1.209   1.227
    4.90    0.979   0.943   1.153   1.160   1.232
    5.00    0.981   0.978   1.176   1.109   1.218
    5.10    1.009   1.012   1.179   1.069   1.191
    5.20    1.045   1.047   1.172   1.005   1.157
    5.30    1.084   1.078   1.164   0.938   1.110
    5.40    1.116   1.106   1.144   0.884   1.051
    5.50    1.134   1.114   1.114   0.847   0.990
    5.60    1.142   1.122   1.068   0.832   0.932
    5.70    1.151   1.120   1.019   0.834   0.893
    5.80    1.161   1.108   0.979   0.846   0.870
    5.90    1.160   1.125   0.950   0.864   0.858
    6.00    1.142   1.090   0.930   0.895   0.849
    6.10    1.110   1.078   0.914   0.940   0.854
    6.20    1.079   1.056   0.909   0.992   0.858
    6.30    1.034   1.020   0.905   1.035   0.877
    6.40    1.000   1.000   0.900   0.992   0.934
    6.50    0.966   0.972   0.922   1.003   0.973
    6.60    0.932   0.948   0.932   1.099   1.009
    6.70    0.907   0.929   0.945   1.110   1.038
    6.80    0.907   0.918   0.964   1.100   1.080
    6.90    0.900   0.915   0.987   1.093   1.077
    7.00    0.909   0.920   1.010   1.041   1.086
    7.10    0.916   0.928   1.027   1.040   1.090
    7.20    0.923   0.939   1.036   1.012   1.091
    7.30    0.934   0.952   1.045   0.996   1.095
    7.40    0.951   0.969   1.052   0.973   1.091
    7.50    0.973   0.982   1.055   0.951   1.040
    7.60    0.994   0.997   1.051   0.936   1.023
    7.70    1.009   1.010   1.042   0.933   0.999
    7.80    1.020   1.021   1.032   0.938   0.981
    7.90    1.029   1.029   1.024   0.947   0.967
    8.00    1.037   1.034   1.016   0.954   0.956
    8.10    1.041   1.035   1.006   0.965   0.945
    8.20    1.042   1.034   0.994   0.970   0.937
    8.30    1.041   1.033   0.983   0.995   0.936
    8.40    1.039   1.032   0.977   1.011   0.945
    8.50    1.038   1.030   0.976   1.023   0.953
    8.60    1.035   1.026   0.975   1.029   0.966
    8.70    1.028   1.018   0.974   1.035   0.977
    8.80    1.019   1.011   0.974   1.037   0.993
    8.90    1.008   1.004   0.976   1.040   1.007
    9.00    0.999   0.998   0.981   1.035   1.020
    9.20    0.995   0.996   0.992   1.014   1.035
    9.40    0.988   0.981   1.000   0.995   1.040
    9.60    0.981   0.983   1.012   0.984   1.037
    9.80    0.982   0.986   1.016   0.979   1.035
    10.00   0.989   0.991   1.016   0.981   0.996
    10.20   1.000   1.000   1.013   0.997   0.973
    10.40   1.009   1.005   1.003   0.999   0.972
    10.60   1.005   1.000   0.995   1.009   0.973
    10.80   1.007   1.000   0.995   1.007   0.981
    11.00   1.006   1.006   0.989   1.015   0.991
    11.20   1.005   1.004   0.991   1.009   1.004
    11.40   1.004   0.999   0.993   0.997   1.011
    11.60   1.001   0.998   0.997   0.990   1.017
    11.80   0.995   0.997   1.001   0.993   1.015
    12.00   0.994   0.997   1.002   0.996   1.013
    12.20   0.995   0.998   1.007   0.994   1.008
    12.40   0.997   0.999   1.006   0.996   0.997
    12.60   0.997   0.999   1.004   0.996   0.990
    12.80   1.001   1.001   1.003   1.002   0.988
    13.00   1.002   1.002   0.999   1.003   0.988
    13.20   1.002   1.001   0.997   1.001   0.992
    13.40   1.002   1.000   0.997   1.002   0.994
    13.60   1.002   0.999   0.996   1.001   1.004
    13.80   1.001   0.999   0.996   1.000   1.006
