2.206164860 0.090554415   1.900581438 0.089733060   1.601960751 0.097535934
2.213516075 0.088501027   1.907925182 0.087885010   1.611779668 0.095468632
2.222107174 0.086598727   1.919082820 0.086142086   1.617760621 0.092811812
2.233992052 0.083402240   1.930960146 0.083153163   1.624699130 0.090791521
2.242906087 0.080994497   1.942813306 0.080828445   1.635572582 0.088439128
2.251801999 0.079084907   1.951739425 0.078088600   1.643500868 0.086169761
2.263685366 0.075929933   1.963610709 0.075265728   1.653376488 0.084287847
2.269651081 0.073691931   1.972499069 0.073563703   1.663272246 0.081852428
2.278559210 0.071446549   1.981396491 0.071612600   1.677125098 0.078476053
2.284519017 0.069370908   1.993261734 0.068955780   1.687023373 0.075971446
2.293427012 0.067129216   2.005090729 0.067295267   1.698897074 0.073082154
2.299385813 0.065081251   2.014004765 0.064887524   1.710760807 0.070466847
2.311238973 0.062756533   2.025854905 0.062645832   1.725559738 0.068042498
2.323106230 0.060044362   2.037699003 0.060570191   1.736435204 0.065634755
2.336924848 0.057608944   2.049540081 0.058577576   1.749263038 0.063476088
2.346810537 0.055450277   2.061387200 0.056418910   1.764066399 0.060929969
2.358681318 0.052641243   2.073231298 0.054343269   1.778859691 0.058660602
2.372506481 0.050025936   2.085084458 0.052018551   1.790709830 0.056418910
2.380439198 0.047634798   2.105810320 0.048870637   1.807279282 0.054209446
2.391291102 0.045874654   2.120445513 0.046611910   1.820306483 0.051603423
2.409485701 0.042295327   2.129493199 0.044417093   1.832156623 0.049361731
2.426813731 0.039913414   2.147244075 0.041723373   1.844010690 0.047012105
2.435727364 0.037516741   2.164989581 0.039177253   1.861750255 0.044629270
2.450514615 0.035413425   2.182725018 0.036907886   1.876544554 0.042332227
2.462355692 0.033420810   2.200478580 0.034140365   1.890355117 0.040118210
2.473222096 0.031262143   2.218196900 0.032341476   1.906111000 0.038346997
2.486043889 0.029269528   2.235921261 0.030376536   1.923832341 0.036465083
2.497878925 0.027442964   2.256600354 0.028065656   1.941563750 0.034306416
2.509710941 0.025699426   2.277278440 0.025782451   1.959289119 0.032313801
2.518608866 0.023734486   2.292050184 0.024105334   1.977010459 0.030431887
2.536346317 0.021409768   2.310516250 0.022381930   2.000623139 0.028356246
2.548197464 0.019140401   2.328774755 0.020533881   2.019321485 0.026078029
2.565930888 0.016926384   2.356989735 0.018268632   2.050820850 0.023374708
2.583670352 0.014546316   2.383554529 0.015919006   2.074435040 0.021257554
