2.103106936 0.100205807   1.905509483 0.089216048   1.694383866 0.085160300
2.114537314 0.097930147   1.917862222 0.086135111   1.707458042 0.083725649
2.123257388 0.094934819   1.925037973 0.084311903   1.719397895 0.081087641
2.131554632 0.092407789   1.939340484 0.081784185   1.730168239 0.078199459
2.142222519 0.089970705   1.946543102 0.079347498   1.744494456 0.075130436
2.151705084 0.087714191   1.960849563 0.076729563   1.762372594 0.071970789
2.160002329 0.085367595   1.971572496 0.074923992   1.775499033 0.069292844
2.170670215 0.082840294   1.982342839 0.072035811   1.790985518 0.066734919
2.180152780 0.080252984   1.996661154 0.069147223   1.805291979 0.064116983
2.188450025 0.077380122   2.010983420 0.066168417   1.819582637 0.061859919
2.195561949 0.075168988   2.025270127 0.064001570   1.832714344 0.059061684
2.206229835 0.072731904   2.039568686 0.061564070   1.844654702 0.056462063
2.216897721 0.070745905   2.052704344 0.058675617   1.861324633 0.053885958
2.231121569 0.068037762   2.068197414 0.055967329   1.876792680 0.051749048
2.244160097 0.065089176   2.082515728 0.053078741   1.887511661 0.050033695
2.256013304 0.062982752   2.093244982 0.051128823   1.902588866 0.047786453
2.273793114 0.059642682   2.110340664 0.048601112   1.914497511 0.045960884
2.282090359 0.056808914   2.125389678 0.046262438   1.930361246 0.043773733
2.295128886 0.054317428   2.139667824 0.044291062   1.948214362 0.041185464
2.307377200 0.051846081   2.157527086 0.041562454   1.966056942 0.038837775
2.324761903 0.049550570   2.175371421 0.039174669   1.983899521 0.036490087
2.337800430 0.047095171   2.189658128 0.037007822   2.001752637 0.033901817
2.352024279 0.044657679   2.202783250 0.034359949   2.023135286 0.031734157
2.366248127 0.042129971   2.221797951 0.032252705   2.044523203 0.029446207
2.380471975 0.039602262   2.246749642 0.029603478   2.065911119 0.027158257
2.393510502 0.037164907   2.271704846 0.026874058   2.083732627 0.025291729
2.408919671 0.034276194   2.299806194 0.024334625   2.094442916 0.023774854
2.426699481 0.031748078   2.322177377 0.022131915   2.118161826 0.022220403
2.448035254 0.029039120   2.342961026 0.020089588   2.137157641 0.020594319
2.469371026 0.026029439   2.367894279 0.017861377   2.162086285 0.018471361
2.487150836 0.023621613   2.396384723 0.015422251   2.187005711 0.016558911
2.506962624 0.020616402   2.424863313 0.013253778   2.215487989 0.014306235
2.540490266 0.017240160   2.456878022 0.011355552   2.251054619 0.012317385
2.561826039 0.014952216   2.496012378 0.008915207   2.290182654 0.010021388
2.579605849 0.012875185   2.530027406 0.007635383   2.316248308 0.008890689
2.597385659 0.010557576   2.560015455 0.005720204   2.347037110 0.008030099
2.618721431 0.008389921   2.599116097 0.004049716   2.389682561 0.006431379
2.643613165 0.006282004   2.652420743 0.002100824   2.432314842 0.005133384
2.668504900 0.004053797   2.680476855 0.000644224   2.474948178 0.003811331
2.699586155 0.001605361   2.709808378 -0.001163404  2.517551749 0.003168916
2.715588684 -0.000252448  2.723629726 -0.003605936  2.572002686 0.002150095
2.727770934 -0.002288238  2.755681968 -0.006361229  2.638963998 0.001519073
2.728956254 -0.005004911  2.773944373 -0.009310302  2.688360663 0.000573189
2.736830670 -0.007334330  2.794982265 -0.012590712  2.743234965 -0.001277572
2.743604331 -0.009938458  2.812828796 -0.015028618  2.787478056 -0.003267417
2.749106706 -0.012495240  2.841302645 -0.017088830  2.830119557 -0.004775919
2.757403951 -0.014751619  2.869778075 -0.019185129  2.872728133 -0.005532609
2.763330554 -0.017368594  2.898250283 -0.021207861  2.914152734 -0.006259091
2.771627799 -0.018903236  2.927471097 -0.022354423  2.957903140 -0.006083668
2.779925043 -0.021881351  2.958641972 -0.022954354  3.000470889 -0.005908109
2.791778250 -0.025010235  3.001255815 -0.023831334  3.043021517 -0.005341608
2.800075495 -0.027657555  3.043809077 -0.023324978  3.085560292 -0.004504454
2.806002098 -0.030665471  3.096265840 -0.022116062  3.124562291 -0.003922510
2.814299343 -0.033072211  3.137040706 -0.020655213  3.170625990 -0.002559493
2.822596588 -0.035539096  3.178419936 -0.018498744  3.213156863 -0.001541904
2.832079153 -0.037675321  3.213816675 -0.016608239  3.257797554 -0.000091514
2.842747039 -0.039931971  3.245649639 -0.014356457  3.300743091 0.000716380
2.854429715 -0.042652696  3.273949119 -0.012435066  3.340755632 0.001370451
2.863270420 -0.044279699  3.304238918 -0.010151176  3.385943867 0.002470324
2.874750698 -0.046491414  3.337519751 -0.008451004  3.425829667 0.003125027
2.892530508 -0.049049602  3.376578194 -0.006462419  3.468380295 0.003691528
2.910310318 -0.051547646  3.419065607 -0.004452437  3.510935533 0.004152776
2.931646090 -0.053775445  3.461550385 -0.002382309  3.553498672 0.004433588
2.954646856 -0.055861620  3.502292786 -0.001033719  3.596067738 0.004579074
2.979228049 -0.057625868  3.527087097 -0.000089279  3.638635755 0.004748507
3.013433217 -0.059257985  3.567826645 0.001324468   3.684766464 0.004581408
3.054919441 -0.060270847  3.608988989 0.002742846   3.723796773 0.004516903
3.098776306 -0.059418122  3.659957990 0.003960359   3.769925594 0.004392908
3.140939856 -0.057133155  3.704126643 0.004405400   3.808968382 0.004043458
3.168015667 -0.055504580  3.743550631 0.004820804   3.851546666 0.003978436
